ROSENBROCK         gNorm      Iter.  Cputime   (f,g,H,S)
steepestbacktrack  5.113e-01  1001   0.8883    (7317,1002,0,0)	
steepestwolfe      1.001e+00  1001   0.9248    (23127,2058,0,0)	
newtonbacktrack    7.486e-07  13     0.1698    (30,14,13,13)	
newtonwolfe        5.041e-10  14     0.0553    (49,19,14,14)	
trustregioncg      1.906e-06  39     0.0750    (40,21,0,0)	
sr1trustregioncg   1.198e-06  169    0.1050    (170,111,0,0)	
bfgsbacktrack      5.921e-08  25     0.0800    (61,26,0,25)	
bfgswolfe          3.852e-08  23     0.1107    (96,32,0,23)	
